date,price,dix,gex
5/10/2012,1357.98999,0.439342352,631565006.1
5/11/2012,1353.390015,0.432141801,555886856.2
5/14/2012,1338.349976,0.421752483,89135534.32
5/15/2012,1330.660034,0.459140055,-125631970
5/16/2012,1324.800049,0.436529127,-417011821.9
5/17/2012,1304.859985,0.415799241,-846538042.9
5/18/2012,1295.219971,0.440721534,-672969511.1
5/21/2012,1315.98999,0.445945362,499777733.5
5/22/2012,1316.630005,0.457411629,552166197.2
5/23/2012,1318.859985,0.463389227,786423702.1
5/24/2012,1320.680054,0.462337076,756275096.2
5/25/2012,1317.819946,0.445284396,522648606.2
5/29/2012,1332.420044,0.439826623,893471034.9
5/30/2012,1313.319946,0.468596491,739225067.9
5/31/2012,1310.329956,0.468427965,705360324.2
6/1/2012,1278.040039,0.468815591,3285451.832
6/4/2012,1278.180054,0.432496989,112625048.2
6/5/2012,1285.5,0.459361236,227443359.2
6/6/2012,1315.130005,0.438660675,917404043.8
6/7/2012,1314.98999,0.436467687,911195352.8
6/8/2012,1325.660034,0.455917017,1092349772
6/11/2012,1308.930054,0.481044704,600860582.8
6/12/2012,1324.180054,0.468450448,1002291727
6/13/2012,1314.880005,0.493658776,621053228.7
6/14/2012,1329.099976,0.457117961,853414513.5
6/15/2012,1342.839966,0.427043167,1585847555
6/18/2012,1344.780029,0.436562891,1378484206
6/19/2012,1357.97998,0.436885852,1699864261
6/20/2012,1355.689941,0.423884939,1642282374
6/21/2012,1325.51001,0.452301117,815506214.8
6/22/2012,1335.02002,0.450756703,1173714562
6/25/2012,1313.719971,0.441823368,733649453.6
6/26/2012,1319.98999,0.448756455,909516188.4
6/27/2012,1331.849976,0.426649003,1115174392
6/28/2012,1329.040039,0.440783954,812546271.5
6/29/2012,1362.160034,0.413237977,1807855816
7/2/2012,1365.51001,0.41260613,2077705972
7/3/2012,1374.02002,0.390983426,2456658031
7/5/2012,1367.579956,0.426481375,2473469808
7/6/2012,1354.680054,0.436077109,1796281207
7/9/2012,1352.459961,0.420280883,1985662005
7/10/2012,1341.469971,0.442497694,1586232703
7/11/2012,1341.449951,0.420722684,1449572893
7/12/2012,1334.76001,0.43242149,1098347662
7/13/2012,1356.780029,0.440963266,2028145543
7/16/2012,1353.640015,0.436274487,2062023144
7/17/2012,1363.670044,0.451430094,2418730699
7/18/2012,1372.780029,0.436626683,2553132550
7/19/2012,1376.51001,0.441872417,3097865785
7/20/2012,1362.660034,0.464460912,1379986328
7/23/2012,1350.52002,0.443219106,0
7/24/2012,1338.310059,0.431072307,983971321.8
7/25/2012,1337.890015,0.430702935,553912048.5
7/26/2012,1360.02002,0.421724382,1114339576
7/27/2012,1385.969971,0.424714183,1817831830
7/30/2012,1385.300049,0.42843743,2068297483
7/31/2012,1379.319946,0.428534496,2210392334
8/1/2012,1375.319946,0.457858839,1938954423
8/2/2012,1365,0.464333809,1726903125
8/3/2012,1390.98999,0.39010512,2366858966
8/6/2012,1394.22998,0.423803255,2600155257
8/7/2012,1401.349976,0.411675816,2868172572
8/8/2012,1402.219971,0.426888444,2724860533
8/9/2012,1402.800049,0.439394958,2589509366
8/10/2012,1405.869995,0.428783068,2574028859
8/13/2012,1404.109985,0.446491402,2715897940
8/14/2012,1403.930054,0.429194893,2876834424
8/15/2012,1405.530029,0.432183217,2773023612
8/16/2012,1415.51001,0.426202142,3426865148
8/17/2012,1418.160034,0.398142173,4028299817
8/20/2012,1418.130005,0.413355168,2348409048
8/21/2012,1413.170044,0.418816398,2116768543
8/22/2012,1413.48999,0.408271923,2470160728
8/23/2012,1402.079956,0.433467765,2093397740
8/24/2012,1411.130005,0.412609669,2162075949
8/27/2012,1410.439941,0.438513389,2402914524
8/28/2012,1409.300049,0.4472684,2444897531
8/29/2012,1410.48999,0.448131541,2450773599
8/30/2012,1399.47998,0.451028754,1713438839
8/31/2012,1406.579956,0.44626046,2159856181
9/4/2012,1404.939941,0.445828301,2366329795
9/5/2012,1403.439941,0.450946787,2184889898
9/6/2012,1432.119995,0.421909518,3383251558
9/7/2012,1437.920044,0.420361162,3213127405
9/10/2012,1429.079956,0.39850468,2688557354
9/11/2012,1433.560059,0.383374847,2751129284
9/12/2012,1436.560059,0.400705097,3143426309
9/13/2012,1459.98999,0.391469653,4501792815
9/14/2012,1465.77002,0.396847554,4079191869
9/17/2012,1461.189941,0.365391474,4194673587
9/18/2012,1459.319946,0.391424471,4348508722
9/19/2012,1461.050049,0.418005806,4606321235
9/20/2012,1460.26001,0.399077405,4242811907
9/21/2012,1460.150024,0.397216762,8992652051
9/24/2012,1456.890015,0.393883691,2637542456
9/25/2012,1441.589966,0.383623414,1826144998
9/26/2012,1433.319946,0.363140164,1336101729
9/27/2012,1447.150024,0.379371729,2572778274
9/28/2012,1440.670044,0.416806076,2174491589
10/1/2012,1444.48999,0.344328363,2058078578
10/2/2012,1445.75,0.350350177,2019845363
10/3/2012,1450.98999,0.380016048,2751403325
10/4/2012,1461.400024,0.378389136,2875956470
10/5/2012,1460.930054,0.342700141,2276244807
10/8/2012,1455.880005,0.337064299,1914155683
10/9/2012,1441.47998,0.337286422,1529584845
10/10/2012,1432.560059,0.381649494,1585118598
10/11/2012,1432.839966,0.365228725,1166712069
10/12/2012,1428.589966,0.366631872,1366428443
10/15/2012,1440.130005,0.411180976,1799022345
10/16/2012,1454.920044,0.416879436,2792940189
10/17/2012,1460.910034,0.417818503,2882740928
10/18/2012,1457.339966,0.399641532,2166631598
10/19/2012,1433.189941,0.403053872,-1220488013
10/22/2012,1433.819946,0.395740612,1365092477
10/23/2012,1413.109985,0.404109969,856531693.2
10/24/2012,1408.75,0.392615667,827957147.3
10/25/2012,1412.969971,0.390722067,887952897.6
10/26/2012,1411.939941,0.397319071,869165396.4
10/31/2012,1412.160034,0.400017221,787647145.9
11/1/2012,1427.589966,0.380985792,1278333551
11/2/2012,1414.199951,0.388379188,745669691.6
11/5/2012,1417.26001,0.392869034,937015288.1
11/6/2012,1428.390015,0.389892473,1282215428
11/7/2012,1394.530029,0.391995173,-61573416.8
